"MSSubClass","MSZoning","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","GarageType","GarageFinish","GarageArea","GarageQual","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"60","RL",8450,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ","Unf",0,150,856,"GasA","Ex","Y","SBrkr",0,1,0,2,1,3,1,"Gd","Typ",0,"Attchd","RFn",548,"TA","Y",0,61,0,0,0,0,0,2,2008,"WD","Normal"
"20","RL",9600,"Pave","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf",0,284,1262,"GasA","Ex","Y","SBrkr",0,0,1,2,0,3,1,"TA","Typ",1,"Attchd","RFn",460,"TA","Y",298,0,0,0,0,0,0,5,2007,"WD","Normal"
"60","RL",11250,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf",0,434,920,"GasA","Ex","Y","SBrkr",0,1,0,2,1,3,1,"Gd","Typ",1,"Attchd","RFn",608,"TA","Y",0,42,0,0,0,0,0,9,2008,"WD","Normal"
"70","RL",9550,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ","Unf",0,540,756,"GasA","Gd","Y","SBrkr",0,1,0,1,0,3,1,"Gd","Typ",1,"Detchd","Unf",642,"TA","Y",0,35,272,0,0,0,0,2,2006,"WD","Abnorml"
"60","RL",14260,"Pave","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ","Unf",0,490,1145,"GasA","Ex","Y","SBrkr",0,1,0,2,1,4,1,"Gd","Typ",1,"Attchd","RFn",836,"TA","Y",192,84,0,0,0,0,0,12,2008,"WD","Normal"
"50","RL",14115,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ","Unf",0,64,796,"GasA","Ex","Y","SBrkr",0,1,0,1,1,1,1,"TA","Typ",0,"Attchd","Unf",480,"TA","Y",40,30,0,320,0,0,700,10,2009,"WD","Normal"
"20","RL",10084,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ","Unf",0,317,1686,"GasA","Ex","Y","SBrkr",0,1,0,2,0,3,1,"Gd","Typ",1,"Attchd","RFn",636,"TA","Y",255,57,0,0,0,0,0,8,2007,"WD","Normal"
"60","RL",10382,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ",32,216,1107,"GasA","Ex","Y","SBrkr",0,1,0,2,1,3,1,"TA","Typ",2,"Attchd","RFn",484,"TA","Y",235,204,228,0,0,0,350,11,2009,"WD","Normal"
"50","RM",6120,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",0,952,952,"GasA","Gd","Y","FuseF",0,0,0,2,0,2,2,"TA","Min1",2,"Detchd","Unf",468,"Fa","Y",90,0,205,0,0,0,0,4,2008,"WD","Abnorml"
"190","RL",7420,"Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ","Unf",0,140,991,"GasA","Ex","Y","SBrkr",0,1,0,1,0,2,2,"TA","Typ",2,"Attchd","RFn",205,"Gd","Y",0,4,0,0,0,0,0,1,2008,"WD","Normal"
